COOPID, YEAR, MONTH, DAY, meanTemp
80211,2022,1,1,73.00000
80211,2022,1,2,69.00000
80211,2022,1,3,48.00000
80211,2022,1,4,48.50000
80211,2022,1,5,60.00000
80211,2022,1,6,61.00000
80211,2022,1,7,55.50000
80211,2022,1,8,54.50000
80211,2022,1,9,68.50000
80211,2022,1,10,59.50000
80211,2022,1,11,50.00000
80211,2022,1,12,53.00000
80211,2022,1,13,53.00000
80211,2022,1,14,53.50000
80211,2022,1,15,54.00000
80211,2022,1,16,55.50000
80211,2022,1,17,49.50000
80211,2022,1,18,43.00000
80211,2022,1,19,50.50000
80211,2022,1,20,58.00000
80211,2022,1,21,49.00000
80211,2022,1,22,45.00000
80211,2022,1,23,42.00000
80211,2022,1,24,44.00000
80211,2022,1,25,52.50000
80211,2022,1,26,57.00000
80211,2022,1,27,55.00000
80211,2022,1,28,53.00000
80211,2022,1,29,39.50000
80211,2022,1,30,43.50000
80211,2022,1,31,54.00000
80211,2022,2,1,53.00000
80211,2022,2,2,62.00000
80211,2022,2,3,66.50000
80211,2022,2,4,58.50000
80211,2022,2,5,46.50000
80211,2022,2,6,48.00000
80211,2022,2,7,48.50000
80211,2022,2,8,46.00000
80211,2022,2,9,47.50000
80211,2022,2,10,50.00000
80211,2022,2,11,50.00000
80211,2022,2,12,56.00000
80211,2022,2,13,54.00000
80211,2022,2,14,46.00000
80211,2022,2,15,49.50000
80211,2022,2,16,62.00000
80211,2022,2,17,66.00000
80211,2022,2,18,66.50000
80211,2022,2,19,52.50000
80211,2022,2,20,52.00000
80211,2022,2,21,58.00000
80211,2022,2,22,65.50000
80211,2022,2,23,66.50000
80211,2022,2,24,64.00000
80211,2022,2,25,67.00000
80211,2022,2,26,67.00000
80211,2022,2,27,64.00000
80211,2022,2,28,59.50000
80211,2022,3,1,57.00000
80211,2022,3,2,58.50000
80211,2022,3,3,61.00000
80211,2022,3,4,59.50000
80211,2022,3,5,64.00000
80211,2022,3,6,67.00000
80211,2022,3,7,66.00000
80211,2022,3,8,72.00000
80211,2022,3,9,70.00000
80211,2022,3,10,67.00000
80211,2022,3,11,67.50000
80211,2022,3,12,55.00000
80211,2022,3,13,44.00000
80211,2022,3,14,55.50000
80211,2022,3,15,63.50000
80211,2022,3,16,66.00000
80211,2022,3,17,63.50000
80211,2022,3,18,70.00000
80211,2022,3,19,68.00000
80211,2022,3,20,63.00000
80211,2022,3,21,59.00000
80211,2022,3,22,69.50000
80211,2022,3,23,69.00000
80211,2022,3,24,62.00000
80211,2022,3,25,61.00000
80211,2022,3,26,62.50000
80211,2022,3,27,63.50000
80211,2022,3,28,68.00000
80211,2022,3,29,67.00000
80211,2022,3,30,67.50000
80211,2022,3,31,71.50000
80211,2022,4,1,67.50000
80211,2022,4,2,58.50000
80211,2022,4,3,65.00000
80211,2022,4,4,64.50000
80211,2022,4,5,73.50000
80211,2022,4,6,75.00000
80211,2022,4,7,72.00000
80211,2022,4,8,59.00000
80211,2022,4,9,53.50000
80211,2022,4,10,58.00000
80211,2022,4,11,62.50000
80211,2022,4,12,69.00000
80211,2022,4,13,68.00000
80211,2022,4,14,70.50000
80211,2022,4,15,71.00000
80211,2022,4,16,73.50000
80211,2022,4,17,74.50000
80211,2022,4,18,74.00000
80211,2022,4,19,65.50000
80211,2022,4,20,62.50000
80211,2022,4,21,71.50000
80211,2022,4,22,70.00000
80211,2022,4,23,72.00000
80211,2022,4,24,70.50000
80211,2022,4,25,71.50000
80211,2022,4,26,72.50000
80211,2022,4,27,70.00000
80211,2022,4,28,70.50000
80211,2022,4,29,74.00000
80211,2022,4,30,74.00000
80211,2022,5,1,74.50000
80211,2022,5,2,72.50000
80211,2022,5,3,76.00000
80211,2022,5,4,75.50000
80211,2022,5,5,73.50000
80211,2022,5,6,78.50000
80211,2022,5,7,76.50000
80211,2022,5,8,75.00000
80211,2022,5,9,72.00000
80211,2022,5,10,69.50000
80211,2022,5,11,70.50000
80211,2022,5,12,73.00000
80211,2022,5,13,72.50000
80211,2022,5,14,72.50000
80211,2022,5,15,75.00000
80211,2022,5,16,76.00000
80211,2022,5,17,78.50000
80211,2022,5,18,79.50000
80211,2022,5,19,79.00000
80211,2022,5,20,81.00000
80211,2022,5,21,78.00000
80211,2022,5,22,80.50000
80211,2022,5,23,81.00000
80211,2022,5,24,81.00000
80211,2022,5,25,76.00000
80211,2022,5,26,72.50000
80211,2022,5,27,79.50000
80211,2022,5,28,76.00000
80211,2022,5,29,75.50000
80211,2022,5,30,76.50000
80211,2022,5,31,-99.90000
80211,2022,6,1,77.50000
80211,2022,6,2,78.50000
80211,2022,6,3,77.00000
80211,2022,6,4,79.00000
80211,2022,6,5,77.50000
80211,2022,6,6,79.00000
80211,2022,6,7,79.50000
80211,2022,6,8,80.00000
80211,2022,6,9,84.50000
80211,2022,6,10,81.00000
80211,2022,6,11,82.00000
80211,2022,6,12,81.50000
80211,2022,6,13,84.00000
80211,2022,6,14,81.50000
80211,2022,6,15,79.50000
80211,2022,6,16,82.00000
80211,2022,6,17,81.00000
80211,2022,6,18,87.50000
80211,2022,6,19,83.50000
80211,2022,6,20,82.50000
80211,2022,6,21,83.50000
80211,2022,6,22,87.00000
80211,2022,6,23,89.00000
80211,2022,6,24,87.50000
80211,2022,6,25,80.50000
80211,2022,6,26,80.50000
80211,2022,6,27,82.00000
80211,2022,6,28,82.50000
80211,2022,6,29,82.50000
80211,2022,6,30,82.00000
80211,2022,7,1,80.50000
80211,2022,7,2,82.00000
80211,2022,7,3,79.50000
80211,2022,7,4,82.00000
80211,2022,7,5,82.50000
80211,2022,7,6,83.00000
80211,2022,7,7,84.00000
80211,2022,7,8,84.00000
80211,2022,7,9,85.00000
80211,2022,7,10,83.00000
80211,2022,7,11,80.50000
80211,2022,7,12,81.50000
80211,2022,7,13,83.50000
80211,2022,7,14,82.50000
80211,2022,7,15,79.00000
80211,2022,7,16,81.00000
80211,2022,7,17,79.00000
80211,2022,7,18,82.50000
80211,2022,7,19,85.50000
80211,2022,7,20,78.50000
80211,2022,7,21,83.50000
80211,2022,7,22,82.50000
80211,2022,7,23,82.50000
80211,2022,7,24,82.00000
80211,2022,7,25,82.50000
80211,2022,7,26,82.50000
80211,2022,7,27,83.00000
80211,2022,7,28,84.50000
80211,2022,7,29,85.00000
80211,2022,7,30,81.50000
80211,2022,7,31,83.50000
80211,2022,8,1,83.50000
80211,2022,8,2,81.50000
80211,2022,8,3,79.50000
80211,2022,8,4,82.00000
80211,2022,8,5,83.00000
80211,2022,8,6,81.00000
80211,2022,8,7,81.50000
80211,2022,8,8,81.50000
80211,2022,8,9,80.50000
80211,2022,8,10,81.00000
80211,2022,8,11,77.00000
80211,2022,8,12,80.00000
80211,2022,8,13,80.50000
80211,2022,8,14,80.00000
80211,2022,8,15,80.00000
80211,2022,8,16,84.50000
80211,2022,8,17,84.50000
80211,2022,8,18,80.50000
80211,2022,8,19,83.50000
