"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","Tsoil avg-10cm  (F)","Tsoil min(avg)-10cm  (F)","Tsoil max(avg)-10cm  (F)","2m DewPt avg (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","BP avg (mb)","N (# obs)"
"Live Oak","1 Aug 2022","81.61","72.86","93.11","93.73","88.39","99.46","75.44","82","0.01","0.01","205.44","1016","96"
"Live Oak","2 Aug 2022","82.17","72.43","93.38","92.93","86.43","100.38","74.31","77","0","0","268.53","1013","96"
"Live Oak","3 Aug 2022","80.69","73.63","92.62","94.29","88.88","101.12","74.29","81","0.2","0.1","259.54","1012","96"
"Live Oak","4 Aug 2022","80.75","71.19","92.1","91.58","84.72","99.72","74.85","81","0","0","260.28","1013","96"
"Live Oak","5 Aug 2022","82.37","73.58","94.17","93.21","86.32","100.81","74.92","78","0","0","258.44","1014","96"
"Live Oak","6 Aug 2022","79.44","74.68","90.09","92.41","88.32","96.76","75.57","87","0","0","161.07","1016","96"
"Live Oak","7 Aug 2022","80.61","73.69","91.99","91.48","85.78","98.4","74.2","81","0","0","226.27","1016","96"
"Live Oak","8 Aug 2022","79.41","71.55","92.88","92.36","86.95","98.28","72.95","80","0","0","223.82","1015","96"
"Live Oak","9 Aug 2022","78.26","70.43","91.33","91.24","86.74","95.77","73.09","83","0.02","0.02","173.76","1015","96"
"Live Oak","10 Aug 2022","79.48","71.58","90.99","90.34","85.89","95.49","74.54","84","0","0","169.03","1015","96"
"Live Oak","11 Aug 2022","76.35","70.45","83.82","86.83","83.95","91.15","72.81","88","0.62","0.35","127.92","1014","96"
"Live Oak","12 Aug 2022","78.04","72.34","88.48","83.85","80.2","88.97","73.35","84","0.16","0.09","180.03","1012","96"
"Live Oak","13 Aug 2022","76.89","73.87","85.75","83.5","80.6","88.03","75.25","92","0.86","0.55","161.47","1011","96"
"Live Oak","14 Aug 2022","79.41","71.58","90.37","84.03","79.11","90.03","70.77","77","0","0","264.48","1010","96"
"Live Oak","15 Aug 2022","80.13","68.05","91.33","86.36","79.29","94.82","69.22","72","0","0","268.7","1008","96"
"Live Oak","16 Aug 2022","79.46","73.04","90.88","87.57","82.69","92.95","73.98","83","0","0","172.5","1007","96"
"Live Oak","17 Aug 2022","79.61","72.97","91.36","88.25","82.49","96.35","74.64","85","0.2","0.16","202.98","1007","96"
"Live Oak","18 Aug 2022","75.93","70.88","87.44","84.97","81.32","90.03","74","92","0.17","0.12","151.02","1008","96"
"Live Oak","19 Aug 2022","77.9","71.04","87.53","83.29","79.2","87.67","75.34","90","0.09","0.08","175.09","1010","96"
"Live Oak","20 Aug 2022","81.32","73.09","92.17","85.77","80.01","92.57","75.99","84","0","0","198.38","1014","96"
"Live Oak","21 Aug 2022","78.59","71.74","92.08","87.69","81.82","96.22","74.09","85","0.94","0.34","212.81","1013","96"
"Live Oak","22 Aug 2022","78.53","72.16","88.65","85.22","81.48","89.15","75.31","88","0.01","0.01","180.12","1011","96"
"Live Oak","23 Aug 2022","79.73","74.16","88.02","85.7","81.61","90.99","75.3","85","0","0","178.02","1009","96"
"Live Oak","24 Aug 2022","79.96","72.36","91.56","86.94","81.45","93.97","74.81","84","0.02","0.01","193.65","1010","96"
"Live Oak","25 Aug 2022","78.61","72.18","89.58","86.76","81.7","92.46","75.01","88","0.53","0.22","169.17","1011","96"
"Live Oak","26 Aug 2022","79.3","73.13","90.81","86.05","81.52","92.03","75.34","87","0.01","0.01","212.83","1011","96"
"Live Oak","27 Aug 2022","78.13","72","89.82","86.65","81.3","94.06","74.75","88","0.65","0.23","203.98","1009","96"
"Live Oak","28 Aug 2022","76.68","73.78","83.66","84.14","82.08","86.31","75.84","94","0.52","0.27","101.24","1009","96"
"Live Oak","29 Aug 2022","78.27","74.1","88.92","83.39","80.15","88.77","76.21","91","0.08","0.07","159.46","1010","96"
"Live Oak","30 Aug 2022","79.43","74.05","87.66","83.83","80.04","88","77.15","91","0.36","0.32","159.21","1009","96"
"Live Oak","31 Aug 2022","77.56","72.05","87.08","83.02","80.69","85.35","76.2","93","0.4","0.13","101.23","1009","96"
"Live Oak","1 Sep 2022","77.7","71.92","86.09","81.84","78.35","86.22","74.89","89","0.01","0.01","155.22","1010","96"
"Live Oak","2 Sep 2022","77.36","72.39","87.46","83.64","78.85","89.58","74.32","88","0","0","185.58","1012","96"
"Live Oak","3 Sep 2022","78.65","72.91","87.98","85.67","80.55","92.14","75.28","87","0","0","194.59","1013","96"
"Live Oak","4 Sep 2022","76.92","72.88","87.6","83.86","79.95","88.77","75.37","93","2.79","1.15","100.41","1011","96"
"Live Oak","5 Sep 2022","80.26","73.15","91.13","82.82","77.99","89.71","75.73","86","0.01","0.01","211.33","1011","96"
