"FAWN Station","Period","10m T avg (F)","10m T min (F)","10m T max (F)","Tsoil avg-10cm  (F)","Tsoil min(avg)-10cm  (F)","Tsoil max(avg)-10cm  (F)","2m DewPt avg (F)","RelHum avg 2m  (pct)","2m Rain tot (in)","2m Rain max over 15min (in)","SolRad avg2m  (w/m^2)","BP avg (mb)","N (# obs)"
"Live Oak","22 Mar 2024  12:00 AM","64.82","64.67","64.99","70.16","69.91","70.41","54.05","69","0","0","0","1012","4"
"Live Oak","22 Mar 2024  1:00 AM","64.96","64.8","65.16","69.56","69.37","69.76","55.86","73","0","0","0","1013","4"
"Live Oak","22 Mar 2024  2:00 AM","64.9","64.33","65.23","69.09","68.94","69.26","57.05","77","0","0","0","1012","4"
"Live Oak","22 Mar 2024  3:00 AM","62.43","61.09","63.77","68.72","68.59","68.85","58.54","88","0.02","0.01","0","1011","4"
"Live Oak","22 Mar 2024  4:00 AM","61.34","61.18","61.63","68.37","68.23","68.5","59.72","94","0.05","0.03","0","1010","4"
"Live Oak","22 Mar 2024  5:00 AM","62.15","61.29","62.67","67.98","67.84","68.13","61.12","96","0.25","0.15","0","1010","4"
"Live Oak","22 Mar 2024  6:00 AM","62.59","62.42","62.85","67.56","67.39","67.73","61.84","97","0.37","0.19","0","1010","4"
"Live Oak","22 Mar 2024  7:00 AM","63.28","63.09","63.39","67.05","66.88","67.24","62.23","96","0.03","0.02","0.18","1010","4"
"Live Oak","22 Mar 2024  8:00 AM","63.48","63.43","63.52","66.67","66.56","66.79","62.28","96","0.04","0.02","8.36","1010","4"
"Live Oak","22 Mar 2024  9:00 AM","63.37","63.28","63.48","66.41","66.33","66.49","62.06","96","0.08","0.03","29.31","1010","4"
"Live Oak","22 Mar 2024  10:00 AM","63.29","63.27","63.32","66.22","66.18","66.27","62.28","96","0.06","0.03","43.54","1009","4"
"Live Oak","22 Mar 2024  11:00 AM","63.48","63.34","63.61","66.15","66.15","66.16","62.54","97","0.04","0.02","51.8","1008","4"
"Live Oak","22 Mar 2024  12:00 PM","63.95","63.66","64.42","66.14","66.13","66.15","62.72","95","0","0","91.04","1008","4"
"Live Oak","22 Mar 2024  1:00 PM","65.05","64.72","65.41","66.2","66.15","66.27","63.27","93","0","0","112.8","1007","4"
"Live Oak","22 Mar 2024  2:00 PM","66.02","65.68","66.25","66.42","66.33","66.51","63.71","92","0","0","100.48","1006","4"
"Live Oak","22 Mar 2024  3:00 PM","66.48","66.27","66.65","66.67","66.58","66.78","63.95","91","0","0","89.32","1005","4"
"Live Oak","22 Mar 2024  4:00 PM","66.06","66","66.16","66.92","66.83","66.97","64.53","94","0.03","0.02","45.99","1004","4"
"Live Oak","22 Mar 2024  5:00 PM","66.61","66.18","67.23","67.06","67.01","67.12","65.45","95","0.02","0.01","81.72","1005","4"
"Live Oak","22 Mar 2024  6:00 PM","67.19","67.1","67.3","67.23","67.15","67.3","65.18","93","0.02","0.02","30.37","1005","4"
"Live Oak","22 Mar 2024  7:00 PM","67.13","67.01","67.21","67.35","67.33","67.35","64.18","91","0","0","9.43","1003","4"
"Live Oak","22 Mar 2024  8:00 PM","66.91","66.69","67.12","67.27","67.19","67.33","63.95","91","0","0","0.49","1002","4"
"Live Oak","22 Mar 2024  9:00 PM","66.56","66.4","66.61","67.03","66.94","67.14","63.91","92","0","0","0.03","1002","4"
"Live Oak","22 Mar 2024  10:00 PM","65.85","65.64","66.16","66.77","66.67","66.87","63.67","94","0","0","0","1002","4"
"Live Oak","22 Mar 2024  11:00 PM","65.18","64.99","65.46","66.52","66.42","66.61","63.48","95","0","0","0","1002","4"
"Live Oak","23 Mar 2024  12:00 AM","65.3","65.16","65.43","66.25","66.16","66.34","63.87","96","0","0","0","1002","4"
"Live Oak","23 Mar 2024  1:00 AM","65.44","65.26","65.64","66.07","66.02","66.13","63.95","96","0","0","0","1002","4"
"Live Oak","23 Mar 2024  2:00 AM","65.53","65.35","65.64","65.97","65.95","65.98","63.78","95","0","0","0","1002","4"
"Live Oak","23 Mar 2024  3:00 AM","65.38","65.17","65.5","65.89","65.86","65.91","63.24","94","0","0","0","1001","4"
"Live Oak","23 Mar 2024  4:00 AM","64.51","64.24","64.89","65.79","65.73","65.84","62.49","96","0","0","0","1000","4"
"Live Oak","23 Mar 2024  5:00 AM","64.36","63.88","64.67","65.63","65.55","65.7","62.24","96","0","0","0","1000","4"
"Live Oak","23 Mar 2024  6:00 AM","63.05","62.83","63.41","65.43","65.35","65.5","61.52","97","0","0","0","1001","4"
"Live Oak","23 Mar 2024  7:00 AM","62.8","62.62","62.94","65.22","65.16","65.3","61.64","98","0","0","0.82","1001","4"
"Live Oak","23 Mar 2024  8:00 AM","63.43","62.85","64.4","65.07","65.03","65.12","62.88","98","0","0","50.91","1002","4"
"Live Oak","23 Mar 2024  9:00 AM","65.51","65.01","65.75","65.06","65.01","65.12","63.99","94","0","0","168.65","1002","4"
"Live Oak","23 Mar 2024  10:00 AM","67.25","66.02","68.27","65.38","65.21","65.57","64.49","88","0","0","438.22","1002","4"
"Live Oak","23 Mar 2024  11:00 AM","69.85","68.45","71.04","66.19","65.75","66.65","63.3","77","0","0","639.53","1002","4"
"Live Oak","23 Mar 2024  12:00 PM","71.57","71.19","71.82","67.61","67.01","68.23","62.86","71","0","0","619.98","1001","4"
"Live Oak","23 Mar 2024  1:00 PM","69.55","68.16","70.43","69.19","68.67","69.64","63.41","79","0.02","0.02","451.95","1000","4"
"Live Oak","23 Mar 2024  2:00 PM","70.27","69.4","71.64","70.35","69.89","70.83","61.47","71","0","0","783.57","1000","4"
"Live Oak","23 Mar 2024  3:00 PM","70.9","69.85","71.82","71.6","71.13","72.01","61.4","70","0","0","491.12","999","4"
"Live Oak","23 Mar 2024  4:00 PM","72.16","70.97","72.81","72.41","72.18","72.63","58.69","61","0","0","437.17","999","4"
"Live Oak","23 Mar 2024  5:00 PM","69.93","67.57","71.4","72.83","72.73","72.88","60.25","72","0","0","197.43","1000","4"
"Live Oak","23 Mar 2024  6:00 PM","67.38","66.81","68.18","72.69","72.52","72.84","61.15","80","0","0","95.52","1001","4"
"Live Oak","23 Mar 2024  7:00 PM","67.87","67.23","68.25","72.12","71.89","72.36","59.46","75","0","0","50.03","1002","4"
"Live Oak","23 Mar 2024  8:00 PM","65.85","65.14","66.78","71.39","71.06","71.71","58.75","79","0","0","0.61","1003","4"
"Live Oak","23 Mar 2024  9:00 PM","64.18","63.45","64.81","70.47","70.11","70.83","57.94","82","0","0","0","1004","4"
"Live Oak","23 Mar 2024  10:00 PM","62.58","62.19","63","69.53","69.19","69.87","57.82","86","0","0","0","1005","4"
"Live Oak","23 Mar 2024  11:00 PM","61.87","61.68","62.02","68.65","68.32","68.97","57.34","86","0","0","0","1005","4"
"Live Oak","24 Mar 2024  12:00 AM","61.65","61.52","61.86","67.83","67.53","68.13","56.48","84","0","0","0","1005","4"
"Live Oak","24 Mar 2024  1:00 AM","61.03","60.35","61.74","67.05","66.78","67.33","55.64","84","0","0","0","1005","4"
"Live Oak","24 Mar 2024  2:00 AM","59.12","58.6","59.7","66.33","66.07","66.6","55.16","88","0","0","0","1006","4"
